"","Nombre","Equipo","Age","Pos","MP","G","FG2p","FG3p","FTp","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","PER","tamanyo","PROB_PRED","TAM_PRED"
"263","Jake Layman","Minnesota Timberwolves",26,"SF",625,45,0.64,0.29,0.7,13,54,28,29,19,26,44,231,14.06,"Small",0.7368,"Small"
"264","Jakob Poeltl","San Antonio Spurs",25,"C",1848,69,0.62,0,0.51,219,328,134,47,123,83,172,593,19.48,"Big",0,"Big"
"265","Jalen Brunson","Dallas Mavericks",24,"PG",1698,68,0.58,0.41,0.79,27,204,239,35,1,80,109,857,19.87,"Small",0.8665,"Small"
"268","Jalen McDaniels","Charlotte Hornets",23,"SF",905,47,0.55,0.33,0.7,45,124,53,28,19,45,95,346,14,"Small",0.4519,"Big"
"270","Jamal Murray","Denver Nuggets",23,"PG",1704,48,0.52,0.41,0.87,37,157,231,64,13,108,95,1018,21.73,"Small",0.9915,"Small"
"271","James Ennis III","Orlando Magic",25,"PF",985,41,0.5,0.43,0.8,43,123,62,32,7,36,84,345,14.61,"Big",0.7839,"Small"
"272","James Harden","Brooklyn Nets",31,"SG",1318,36,0.55,0.37,0.86,30,277,392,46,27,143,85,885,30.17,"Small",0.8376,"Small"
"274","James Johnson","Dallas Mavericks",33,"PF",504,29,0.61,0.25,0.59,14,72,50,24,23,27,59,166,14.08,"Big",0.4679,"Big"
"275","James Johnson","New Orleans Pelicans",33,"PF",539,22,0.52,0.27,0.6,18,73,48,18,19,28,61,202,13.19,"Big",0.424,"Big"
"277","James Wiseman","Golden State Warriors",19,"C",836,39,0.54,0.32,0.63,55,171,26,11,36,60,121,448,17.04,"Big",0.0376,"Big"
"281","Jarred Vanderbilt","Minnesota Timberwolves",21,"PF",1141,64,0.61,0.2,0.56,118,250,76,64,46,53,123,344,19,"Big",0.0508,"Big"
"284","Jarrett Allen","Cleveland Cavaliers",22,"C",1546,51,0.62,0.32,0.69,158,348,86,25,71,78,75,672,22.41,"Big",2e-04,"Big"
"285","Jarrett Culver","Minnesota Timberwolves",21,"SG",501,34,0.49,0.25,0.6,34,70,24,17,9,28,58,180,11.29,"Small",0.4209,"Big"
"286","Javonte Green","Boston Celtics",27,"SG",342,25,0.65,0.32,0.67,20,32,11,18,2,13,32,105,13.53,"Small",0.7237,"Small"
"288","Jaxson Hayes","New Orleans Pelicans",20,"C",961,60,0.64,0.43,0.78,92,165,35,25,38,39,101,449,22.15,"Big",0.0591,"Big"
"291","Jaylen Brown","Boston Celtics",24,"SG",2001,58,0.54,0.4,0.76,71,276,195,72,32,158,168,1430,23.64,"Small",0.926,"Small"
"292","Jaylen Hoard","Oklahoma City Thunder",25,"PF",318,19,0.57,0,0.68,21,44,24,13,5,17,19,116,15.92,"Big",0.2603,"Big"
"293","Jaylen Nowell","Minnesota Timberwolves",21,"SG",759,42,0.5,0.33,0.82,19,76,62,22,12,28,72,379,15.88,"Small",0.7184,"Small"
"294","Jayson Tatum","Boston Celtics",22,"SF",2290,64,0.5,0.39,0.87,50,422,276,75,31,171,122,1692,25.46,"Small",0.8406,"Small"
"295","Jeff Green","Brooklyn Nets",34,"PF",1839,68,0.56,0.41,0.78,34,229,108,36,27,54,122,750,15.65,"Big",0.3702,"Big"
"296","Jeff Teague","Boston Celtics",32,"PG",616,34,0.39,0.46,0.84,10,47,73,26,7,39,43,233,13.59,"Small",0.9571,"Small"
"297","Jeff Teague","Milwaukee Bucks",32,"PG",335,21,0.5,0.38,0.86,5,26,59,8,5,25,13,138,17.09,"Small",0.8114,"Small"
"298","Jerami Grant","Detroit Pistons",26,"SF",1829,54,0.47,0.35,0.85,35,215,152,35,58,109,125,1205,20.74,"Small",0.2771,"Big"
"300","Jeremy Lamb","Indiana Pacers",28,"SG",763,36,0.46,0.41,0.95,25,106,53,34,23,22,72,363,19.42,"Small",0.7764,"Small"
